Date,Open,High,Low,Close,Adj Close,Volume
2020-03-16,149.419998,151.000000,128.759995,129.610001,129.610001,26844400
2020-03-17,132.509995,134.960007,101.250000,124.139999,124.139999,54492200
2020-03-18,99.860001,107.849998,89.000000,101.889999,101.889999,61943200
2020-03-19,98.800003,103.570000,90.349998,97.709999,97.709999,40210600
2020-03-20,99.849998,107.000000,94.279999,95.010002,95.010002,41370700
2020-03-23,98.750000,114.489998,93.559998,105.620003,105.620003,46140100
2020-03-24,123.680000,127.959999,116.129997,127.680000,127.680000,43683100
2020-03-25,154.899994,174.770004,141.000000,158.729996,158.729996,77826000
2020-03-26,172.289993,186.479996,167.179993,180.550003,180.550003,63267300
2020-03-27,172.000000,172.919998,155.539993,162.000000,162.000000,47880200
2020-03-30,153.809998,153.809998,140.679993,152.279999,152.279999,51052500
2020-03-31,155.000000,160.639999,149.000000,149.139999,149.139999,29954000
2020-04-01,138.910004,144.380005,130.000000,130.699997,130.699997,41899700
2020-04-02,128.509995,136.679993,120.019997,123.269997,123.269997,42372400
2020-04-03,125.000000,131.289993,122.500000,124.519997,124.519997,37347400
2020-04-06,133.699997,149.690002,129.210007,148.770004,148.770004,51085500
2020-04-07,162.000000,164.800003,140.259995,141.580002,141.580002,56699100
2020-04-08,147.509995,154.000000,144.550003,146.869995,146.869995,41351000
2020-04-09,154.710007,157.979996,150.089996,151.839996,151.839996,37874200
2020-04-13,155.500000,156.000000,146.259995,147.330002,147.330002,26034100
2020-04-14,150.509995,152.399994,140.000000,141.000000,141.000000,33970500
2020-04-15,139.000000,148.690002,132.899994,145.979996,145.979996,39297600
2020-04-16,141.460007,143.240005,134.000000,134.240005,134.240005,41364800
2020-04-17,149.410004,154.000000,145.000000,154.000000,154.000000,52389400
2020-04-20,147.210007,151.630005,142.500000,143.610001,143.610001,34983800
2020-04-21,139.009995,141.899994,135.449997,136.330002,136.330002,27043800
2020-04-22,140.419998,140.820007,134.520004,134.970001,134.970001,22734500
2020-04-23,136.500000,142.380005,136.050003,137.740005,137.740005,25936400
2020-04-24,137.000000,137.570007,128.330002,128.979996,128.979996,35884700
2020-04-27,129.970001,131.199997,123.830002,128.679993,128.679993,34563000
2020-04-28,133.880005,137.199997,127.739998,131.300003,131.300003,37806900
2020-04-29,138.080002,147.179993,135.250000,139.000000,139.000000,60454400
2020-04-30,137.669998,144.649994,132.309998,141.020004,141.020004,37876600
2020-05-01,143.229996,143.710007,132.839996,133.369995,133.369995,36613100
2020-05-04,127.120003,131.500000,124.349998,131.460007,131.460007,30708900
2020-05-05,132.880005,133.800003,125.000000,125.400002,125.400002,30621000
2020-05-06,125.800003,126.860001,121.370003,121.860001,121.860001,29627700
2020-05-07,122.809998,130.710007,122.360001,128.649994,128.649994,29525000
2020-05-08,132.570007,135.550003,131.559998,133.440002,133.440002,22695700
2020-05-11,130.919998,131.000000,127.949997,128.910004,128.910004,20055400
2020-05-12,129.720001,133.119995,125.199997,125.220001,125.220001,22579000
2020-05-13,125.000000,125.070000,119.330002,121.500000,121.500000,26002000
2020-05-14,118.980003,122.610001,113.889999,122.519997,122.519997,37499200
2020-05-15,118.330002,121.889999,117.779999,120.000000,120.000000,26756800
2020-05-18,126.180000,136.199997,125.800003,135.440002,135.440002,43781800
2020-05-19,137.000000,137.039993,130.279999,130.440002,130.440002,32373000
2020-05-20,133.270004,135.449997,131.309998,133.320007,133.320007,21835500
2020-05-21,137.000000,144.240005,136.149994,139.000000,139.000000,48263900
2020-05-22,141.009995,141.080002,135.779999,137.529999,137.529999,21098800
2020-05-26,145.210007,145.910004,142.610001,144.729996,144.729996,30338300
2020-05-27,149.139999,149.649994,141.240005,149.520004,149.520004,32799900
2020-05-28,156.100006,156.699997,149.050003,149.820007,149.820007,34734300
2020-05-29,145.300003,152.000000,142.940002,145.850006,145.850006,33853900
2020-06-01,145.449997,153.550003,144.550003,151.389999,151.389999,27127300
2020-06-02,154.000000,155.850006,151.809998,153.309998,153.309998,24780500
2020-06-03,157.100006,173.779999,155.490005,173.160004,173.160004,66486400
2020-06-04,181.279999,188.600006,177.399994,184.300003,184.300003,67155600
2020-06-05,205.000000,218.789993,197.360001,205.429993,205.429993,99846000
2020-06-08,222.940002,234.199997,218.929993,230.500000,230.500000,80902800
2020-06-09,222.139999,227.000000,213.080002,216.740005,216.740005,66688700
2020-06-10,211.169998,213.029999,197.399994,203.410004,203.410004,90384900
2020-06-11,179.350006,192.179993,166.009995,170.000000,170.000000,103212800
2020-06-12,187.149994,191.300003,176.259995,189.509995,189.509995,89550100
2020-06-15,177.179993,193.229996,175.889999,190.940002,190.940002,78612900
2020-06-16,207.149994,208.300003,192.600006,197.770004,197.770004,76496900
2020-06-17,194.520004,196.429993,191.250000,192.539993,192.539993,53085400
2020-06-18,188.240005,198.029999,187.199997,192.289993,192.289993,60849900
2020-06-19,197.899994,197.960007,184.570007,187.020004,187.020004,67262100
2020-06-22,184.559998,188.699997,181.899994,188.520004,188.520004,53901500
2020-06-23,189.300003,190.119995,183.550003,187.880005,187.880005,50281300
2020-06-24,183.610001,185.199997,176.070007,176.690002,176.690002,56534800
2020-06-25,169.869995,177.500000,169.589996,174.880005,174.880005,57335700
2020-06-26,173.419998,173.850006,167.600006,170.009995,170.009995,50644400
2020-06-29,181.000000,194.500000,176.270004,194.490005,194.490005,78499900
2020-06-30,188.020004,188.490005,180.380005,183.300003,183.300003,65493100
2020-07-01,185.880005,190.610001,180.039993,180.320007,180.320007,49036700
2020-07-02,185.580002,187.789993,180.429993,180.809998,180.809998,41792300
2020-07-06,184.520004,189.360001,181.600006,187.910004,187.910004,49471700
2020-07-07,185.070007,185.070007,178.649994,178.880005,178.880005,37105300
2020-07-08,179.050003,181.580002,175.509995,180.080002,180.080002,38116200
2020-07-09,179.669998,180.750000,172.809998,173.279999,173.279999,33514500
2020-07-10,171.699997,179.330002,169.750000,178.440002,178.440002,40955600
2020-07-13,180.199997,183.250000,174.360001,175.649994,175.649994,43364700
2020-07-14,177.000000,181.300003,173.410004,179.960007,179.960007,39256200
2020-07-15,185.539993,189.529999,181.250000,187.940002,187.940002,48044800
2020-07-16,184.320007,184.589996,177.339996,178.699997,178.699997,35050000
2020-07-17,178.410004,181.100006,175.550003,175.660004,175.660004,26170500
2020-07-20,175.130005,176.570007,171.619995,174.419998,174.419998,25294300
2020-07-21,178.429993,182.649994,176.750000,178.630005,178.630005,40740500
2020-07-22,176.429993,182.949997,175.389999,179.789993,179.789993,29790300
2020-07-23,178.000000,182.500000,175.419998,176.449997,176.449997,29587200
2020-07-24,175.679993,181.100006,173.600006,173.759995,173.759995,28548000
2020-07-27,173.190002,174.139999,169.000000,170.210007,170.210007,30243800
2020-07-28,168.500000,173.740005,168.229996,170.839996,170.839996,25349100
2020-07-29,172.899994,173.009995,162.250000,166.009995,166.009995,51709600
2020-07-30,162.880005,164.550003,160.639999,161.949997,161.949997,29140000
2020-07-31,161.550003,163.399994,156.259995,158.000000,158.000000,30263100
2020-08-03,156.509995,163.580002,153.410004,162.270004,162.270004,38520500
2020-08-04,164.630005,167.399994,163.009995,165.070007,165.070007,30853500
2020-08-05,167.600006,174.979996,166.399994,174.279999,174.279999,46189200
2020-08-06,172.800003,175.570007,170.600006,172.199997,172.199997,32921600
2020-08-07,171.500000,171.860001,168.699997,170.020004,170.020004,19318000
2020-08-10,171.360001,179.789993,171.330002,179.410004,179.410004,35857700
2020-08-11,184.509995,189.970001,179.529999,180.130005,180.130005,61036600
2020-08-12,184.009995,184.149994,173.190002,175.440002,175.440002,40674400
2020-08-13,173.619995,179.470001,172.429993,174.729996,174.729996,22958800
2020-08-14,173.089996,179.470001,172.350006,178.080002,178.080002,32414100
2020-08-17,178.240005,178.289993,171.410004,172.009995,172.009995,23352100
2020-08-18,172.009995,173.240005,169.009995,170.229996,170.229996,21488500
2020-08-19,170.440002,174.100006,169.089996,169.270004,169.270004,25601500
2020-08-20,168.539993,170.839996,165.860001,169.580002,169.580002,23213400
2020-08-21,168.350006,170.080002,167.270004,167.500000,167.500000,16945900
2020-08-24,168.779999,178.270004,167.929993,178.270004,178.270004,39317100
2020-08-25,180.460007,180.630005,172.440002,174.729996,174.729996,31318500
2020-08-26,173.800003,174.429993,171.350006,171.899994,171.899994,16189800
2020-08-27,174.710007,181.309998,173.559998,174.199997,174.199997,29548100
2020-08-28,175.110001,177.279999,172.570007,175.800003,175.800003,20383900
2020-08-31,174.649994,175.270004,171.699997,171.820007,171.820007,16264300
2020-09-01,170.710007,175.490005,169.250000,172.100006,172.100006,18977300
2020-09-02,172.740005,175.000000,171.449997,174.779999,174.779999,16552100
2020-09-03,175.000000,180.850006,168.119995,168.770004,168.770004,27799400
2020-09-04,171.309998,172.830002,164.000000,171.050003,171.050003,18867300
2020-09-08,165.800003,166.899994,160.500000,161.080002,161.080002,22622700
2020-09-09,161.610001,163.059998,157.000000,160.779999,160.779999,21951400
2020-09-10,160.960007,163.779999,157.570007,157.690002,157.690002,14532600
2020-09-11,158.000000,161.360001,156.320007,160.229996,160.229996,14722400
2020-09-14,161.750000,165.940002,158.899994,165.350006,165.350006,17228400
2020-09-15,166.649994,168.839996,163.330002,163.490005,163.490005,14881700
2020-09-16,161.949997,170.570007,160.309998,167.460007,167.460007,21851400
2020-09-17,164.630005,168.460007,161.050003,167.529999,167.529999,19717800
2020-09-18,165.660004,169.720001,161.020004,161.139999,161.139999,22057100
2020-09-21,157.830002,158.830002,154.199997,156.350006,156.350006,23125300
2020-09-22,156.809998,160.070007,154.949997,156.800003,156.800003,17768900
2020-09-23,157.330002,160.419998,150.889999,151.179993,151.179993,18247500
2020-09-24,150.289993,150.309998,145.020004,146.050003,146.050003,27098100
2020-09-25,146.850006,156.309998,146.419998,156.029999,156.029999,29123000
2020-09-28,160.330002,168.000000,159.199997,166.080002,166.080002,38868200
2020-09-29,164.770004,165.500000,162.009995,163.600006,163.600006,19874700
2020-09-30,164.500000,170.979996,164.110001,165.259995,165.259995,38436700
2020-10-01,170.149994,172.759995,165.570007,167.860001,167.860001,30677100
2020-10-02,161.860001,169.779999,161.800003,168.080002,168.080002,31773800
2020-10-05,169.490005,172.080002,167.509995,171.199997,171.199997,19082100
2020-10-06,173.039993,175.559998,159.330002,159.539993,159.539993,47132500
2020-10-07,163.710007,166.339996,162.380005,164.610001,164.610001,26019100
2020-10-08,166.220001,168.089996,163.539993,168.000000,168.000000,20598600
2020-10-09,169.929993,170.000000,166.820007,167.330002,167.330002,17406000
2020-10-12,167.750000,169.199997,165.949997,167.350006,167.350006,12176600
2020-10-13,165.360001,165.529999,162.089996,162.139999,162.139999,15182600
2020-10-14,162.699997,165.169998,162.490005,163.240005,163.240005,10505500
2020-10-15,161.009995,164.539993,158.729996,164.240005,164.240005,13226800
2020-10-16,171.220001,173.419998,167.270004,167.350006,167.350006,31780600
2020-10-19,169.089996,170.839996,166.110001,167.110001,167.110001,16519600
